rank,workers,company,state_s,city,metro,growth,revenue,industry,yrs_on_list
2412,34,All-Star Driver,CT,Watertown,Torrington CT,159.4716,3677528,Education,2
2413,95,VIP International,CA,Rancho Cordova,Sacramento--Arden-Arcade--Roseville CA,159.3237,9998951,Retail,4
2414,61,Medullan,MA,Cambridge,Boston,159.2764,8279423,Health,2
2415,110,Network Capital,CA,Irvine,Los Angeles,159.2304,26465561,Financial Services,4
2416,12,Payscout,CA,Van Nuys,Los Angeles,159.224,2577161,Financial Services,1
2417,25,CRM Manager,PA,Malvern,Philadelphia,159.0402,3547781,IT Services,1
2418,15,Prive Jets,FL,Hallandale,Miami,158.932,18959000,Travel & Hospitality,4
2419,15,PipelineDeals,PA,Wayne,Seattle,158.8991,2561131,Software,1
2420,13,ARCpoint Franchise Group,SC,Greenville,Greenville-Mauldin-Easley SC,158.882,2084000,Health,1
2421,363,United Capital Financial Advisers,CA,Newport Beach,Los Angeles,158.7863,86691894,Financial Services,2
2422,112,Dstillery,NY,New York,New York City,158.74,52858000,Advertising & Marketing,2
2423,140,Central Payment,CA,San Rafael,San Francisco,158.6973,135842670,Financial Services,5
2424,20,Global Communications Group,CO,Englewood,Denver,158.6982,4372000,Telecommunications,3
2425,25,IndiSoft,MD,Columbia,Baltimore,158.605,5172507,Financial Services,5
2426,112,MIPRO Consulting,MI,Milford,Detroit,158.5062,14813994,IT Services,3
2427,573,Varonis Systems,NY,New York,New York City,158.4999,74616000,Software,1
2428,60,ebQuickstart,TX,Austin,Austin,158.4614,5153531,Business Products & Services,3
2429,307,SquareTwo Financial,CO,Denver,Denver,158.2557,338253000,Financial Services,1
2430,65,Elite SEM,PA,Gladwyne,Philadelphia,157.8856,13807243,Advertising & Marketing,5
2431,66,Medi-Copy Services,TN,Nashville,Nashville,157.8393,3304582,Health,3
2432,24,C5 Insight,NC,Charlotte,Charlotte,157.8421,2877879,IT Services,2
2433,32,Hudec Woodworking,IN,Griffith,Chicago,157.8338,7080352,Construction,1
2434,127,Commonground Marketing,IL,Chicago,Chicago,157.6597,26423000,Advertising & Marketing,2
2435,65,EdgeRock Technology Partners,MA,Boston,Boston,157.5104,38351607,IT Services,6
2436,35,Data Path,CA,Modesto,Stockton CA,157.2666,5708690,IT Services,4
2437,53,Involta,IA,Cedar Rapids,,157.1996,21139211,IT Services,3
2438,45,Foodler,MA,Boston,Boston,157.1887,9203788,Food & Beverage,1
2439,940,Consumer Cellular,OR,Portland,Portland OR,157.1785,353754232,Telecommunications,6
2440,8,Stone Farm,CT,Newtown,Bridgeport-Stamford-Norwalk CT,157.1481,2895945,Business Products & Services,1
